celebrity_name,ballroom_partner,season,placement,results,elimination_week,celebrity_industry,celebrity_age,week1_total_score,week1_avg_score,week1_judge_count,week2_total_score,week2_avg_score,week2_judge_count,week3_total_score,week3_avg_score,week3_judge_count,week4_total_score,week4_avg_score,week4_judge_count,week5_total_score,week5_avg_score,week5_judge_count,week6_total_score,week6_avg_score,week6_judge_count,week7_total_score,week7_avg_score,week7_judge_count,week8_total_score,week8_avg_score,week8_judge_count,week9_total_score,week9_avg_score,week9_judge_count,week10_total_score,week10_avg_score,week10_judge_count,week11_total_score,week11_avg_score,week11_judge_count
John O'Hurley,Charlotte Jorgensen,1,2,2nd Place,,Actor/Actress,50,20.0,6.666666666666667,3,26.0,8.666666666666666,3,24.0,8.0,3,21.0,7.0,3,27.0,9.0,3,27.0,9.0,3,,,0,,,0,,,0,,,0,,,0
Kelly Monaco,Alec Mazo,1,1,1st Place,,Actor/Actress,29,13.0,4.333333333333333,3,17.0,5.666666666666667,3,21.0,7.0,3,26.0,8.666666666666666,3,23.5,7.833333333333333,3,27.5,9.166666666666666,3,,,0,,,0,,,0,,,0,,,0
Evander Holyfield,Edyta Sliwinska,1,5,Eliminated Week 3,3.0,Athlete,42,18.0,6.0,3,14.0,4.666666666666667,3,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Rachel Hunter,Jonathan Roberts,1,4,Eliminated Week 4,4.0,Model,35,20.0,6.666666666666667,3,24.0,8.0,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Joey McIntyre,Ashly DelGrosso,1,3,3rd Place,,Singer/Rapper,32,20.0,6.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,20.0,6.666666666666667,3,22.5,7.5,3,,,0,,,0,,,0,,,0,,,0,,,0
Trista Sutter,Louis van Amstel,1,6,Eliminated Week 2,2.0,TV Personality,32,18.0,6.0,3,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tatum O'Neal,Nick Kosovich,2,9,Eliminated Week 2,2.0,Actor/Actress,42,23.0,7.666666666666667,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tia Carrere,Maksim Chmerkoskiy,2,6,Eliminated Week 5,5.0,Actor/Actress,39,20.0,6.666666666666667,3,22.0,7.333333333333333,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
George Hamilton,Edyta Sliwinska,2,5,Eliminated Week 6,6.0,Actor/Actress,66,18.0,6.0,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,21.0,7.0,3,24.0,8.0,3,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0,,,0
Lisa Rinna,Louis van Amstel,2,4,Eliminated Week 7,7.0,Actor/Actress,42,19.0,6.333333333333333,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,27.0,9.0,3,26.5,8.833333333333334,3,,,0,,,0,,,0,,,0
Stacy Keibler,Tony Dovolani,2,3,3rd Place,,Athlete,26,22.0,7.333333333333333,3,29.0,9.666666666666666,3,27.0,9.0,3,26.0,8.666666666666666,3,30.0,10.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.6665,9.5555,3,,,0,,,0,,,0
Jerry Rice,Anna Trebunskaya,2,2,2nd Place,,Athlete,43,21.0,7.0,3,23.0,7.666666666666667,3,19.0,6.333333333333333,3,24.0,8.0,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,20.5,6.833333333333333,3,26.666600000000003,8.888866666666667,3,,,0,,,0,,,0
Giselle Fernandez,Jonathan Roberts,2,8,Eliminated Week 3,3.0,News Anchor,44,23.0,7.666666666666667,3,24.0,8.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Master P,Ashly DelGrosso,2,7,Eliminated Week 4,4.0,Singer/Rapper,35,12.0,4.0,3,16.0,5.333333333333333,3,14.0,4.666666666666667,3,8.0,2.6666666666666665,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Drew Lachey,Cheryl Burke,2,1,1st Place,,Singer/Rapper,29,24.0,8.0,3,27.0,9.0,3,27.0,9.0,3,28.0,9.333333333333334,3,27.0,9.0,3,30.0,10.0,3,27.5,9.166666666666666,3,28.9998,9.6666,3,,,0,,,0,,,0
Kenny Mayne,Andrea Hale,2,10,Eliminated Week 1,1.0,Sports Broadcaster,46,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Harry Hamlin,Ashly DelGrosso,3,9,Eliminated Week 3,3.0,Actor/Actress,54,17.0,5.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Vivica A. Fox,Nick Kosovich,3,8,Eliminated Week 4,4.0,Actor/Actress,42,22.0,7.333333333333333,3,24.0,8.0,3,27.0,9.0,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Monique Coleman,Louis van Amstel,3,4,Eliminated Week 8,8.0,Actor/Actress,25,19.0,6.333333333333333,3,26.0,8.666666666666666,3,27.0,9.0,3,24.0,8.0,3,27.0,9.0,3,23.0,7.666666666666667,3,27.0,9.0,3,26.5,8.833333333333334,3,,,0,,,0,,,0
Joey Lawrence,Edyta Sliwinska,3,3,3rd Place,,Actor/Actress,30,21.0,7.0,3,29.0,9.666666666666666,3,22.0,7.333333333333333,3,27.0,9.0,3,25.0,8.333333333333334,3,24.0,8.0,3,28.5,9.5,3,27.0,9.0,3,29.5,9.833333333333334,3,,,0,,,0
Mario Lopez,Karina Smirnoff,3,2,2nd Place,,Actor/Actress,32,26.0,8.666666666666666,3,21.0,7.0,3,22.0,7.333333333333333,3,29.0,9.666666666666666,3,27.0,9.0,3,28.0,9.333333333333334,3,28.0,9.333333333333334,3,28.5,9.5,3,29.5,9.833333333333334,3,29.666600000000003,9.888866666666667,3,,,0
Emmitt Smith,Cheryl Burke,3,1,1st Place,,Athlete,37,24.0,8.0,3,24.0,8.0,3,19.0,6.333333333333333,3,24.0,8.0,3,27.0,9.0,3,25.0,8.333333333333334,3,28.5,9.5,3,27.0,9.0,3,29.5,9.833333333333334,3,29.666600000000003,9.888866666666667,3,,,0
Shanna Moakler,Jesse DeSoto,3,10,Eliminated Week 2,2.0,Model,31,18.0,6.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Willa Ford,Maksim Chmerkoskiy,3,7,Eliminated Week 5,5.0,Singer/Rapper,25,22.0,7.333333333333333,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,28.0,9.333333333333334,3,27.0,9.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Sara Evans,Tony Dovolani,3,6,Withdrew,-1.0,Singer/Rapper,35,15.0,5.0,3,21.0,7.0,3,25.0,8.333333333333334,3,20.0,6.666666666666667,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Jerry Springer,Kym Johnson,3,5,Eliminated Week 7,7.0,TV Personality,62,16.0,5.333333333333333,3,19.0,6.333333333333333,3,21.0,7.0,3,22.0,7.333333333333333,3,24.0,8.0,3,18.0,6.0,3,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0
Tucker Carlson,Elena Grinenko,3,11,Eliminated Week 1,1.0,TV Personality,37,12.0,4.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
John Ratzenberger,Edyta Sliwinska,4,6,Eliminated Week 7,7.0,Actor/Actress,59,17.0,5.666666666666667,3,21.0,7.0,3,20.0,6.666666666666667,3,16.0,5.333333333333333,3,18.0,6.0,3,19.0,6.333333333333333,3,22.5,7.5,3,,,0,,,0,,,0,,,0
Ian Ziering,Cheryl Burke,4,4,Eliminated Week 9,9.0,Actor/Actress,42,21.0,7.0,3,22.0,7.333333333333333,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,27.0,9.0,3,23.5,7.833333333333333,3,29.0,9.666666666666666,3,,,0,,,0
Clyde Drexler,Elena Grinenko,4,8,Eliminated Week 5,5.0,Athlete,44,16.0,5.333333333333333,3,18.0,6.0,3,16.0,5.333333333333333,3,15.0,5.0,3,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
Laila Ali,Maksim Chmerkoskiy,4,3,3rd Place,,Athlete,29,23.0,7.666666666666667,3,27.0,9.0,3,21.0,7.0,3,21.0,7.0,3,28.0,9.333333333333334,3,28.0,9.333333333333334,3,29.5,9.833333333333334,3,26.5,8.833333333333334,3,30.0,10.0,3,28.333200000000005,9.444400000000002,3,,,0
Apolo Anton Ohno,Julianne Hough,4,1,1st Place,,Athlete,24,21.0,7.0,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,30.0,10.0,3,28.0,9.333333333333334,3,27.0,9.0,3,29.0,9.666666666666666,3,29.5,9.833333333333334,3,29.3332,9.777733333333334,3,,,0
Shandi Finnessey,Brian Fortuna,4,10,Eliminated Week 3,3.0,Beauty Pagent,28,19.0,6.333333333333333,3,20.0,6.666666666666667,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Paulina Porizkova,Alec Mazo,4,11,Eliminated Week 2,2.0,Model,41,19.0,6.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Heather Mills,Jonathan Roberts,4,7,Eliminated Week 6,6.0,Model,39,18.0,6.0,3,24.0,8.0,3,24.0,8.0,3,23.0,7.666666666666667,3,21.0,7.0,3,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0,,,0
Billy Ray Cyrus,Karina Smirnoff,4,5,Eliminated Week 8,8.0,Singer/Rapper,45,13.0,4.333333333333333,3,21.0,7.0,3,21.0,7.0,3,21.0,7.0,3,17.0,5.666666666666667,3,21.0,7.0,3,19.0,6.333333333333333,3,19.0,6.333333333333333,3,,,0,,,0,,,0
Joey Fatone,Kym Johnson,4,2,2nd Place,,Singer/Rapper,30,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,28.0,9.333333333333334,3,25.0,8.333333333333334,3,27.0,9.0,3,29.5,9.833333333333334,3,27.5,9.166666666666666,3,30.0,10.0,3,28.6665,9.5555,3,,,0
Leeza Gibbons,Tony Dovolani,4,9,Eliminated Week 4,4.0,TV Personality,50,15.0,5.0,3,21.0,7.0,3,24.0,8.0,3,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cameron Mathison,Edyta Sliwinska,5,5,Eliminated Week 8,8.0,Actor/Actress,38,21.0,7.0,3,21.0,7.0,3,23.0,7.666666666666667,3,27.0,9.0,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,25.5,8.5,3,25.5,8.5,3,,,0,,,0,,,0
Jane Seymour,Tony Dovolani,5,6,Eliminated Week 7,7.0,Actor/Actress,56,24.0,8.0,3,21.0,7.0,3,27.0,9.0,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,22.0,7.333333333333333,3,25.0,8.333333333333334,3,,,0,,,0,,,0,,,0
Sabrina Bryan,Mark Ballas,5,7,Eliminated Week 6,6.0,Actor/Actress,23,26.0,8.666666666666666,3,26.0,8.666666666666666,3,27.0,9.0,3,30.0,10.0,3,28.0,9.333333333333334,3,25.0,8.333333333333334,3,,,0,,,0,,,0,,,0,,,0
Jennie Garth,Derek Hough,5,4,Eliminated Week 9,9.0,Actor/Actress,35,21.0,7.0,3,21.0,7.0,3,26.0,8.666666666666666,3,27.0,9.0,3,25.0,8.333333333333334,3,27.0,9.0,3,26.5,8.833333333333334,3,25.0,8.333333333333334,3,29.0,9.666666666666666,3,,,0,,,0
Floyd Mayweather Jr. ,Karina Smirnoff,5,9,Eliminated Week 4,4.0,Athlete,30,18.0,6.0,3,21.0,7.0,3,21.0,7.0,3,23.0,7.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Josie Maran,Alec Mazo,5,12,Eliminated Week 1,1.0,Model,29,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Albert Reed,Anna Trebunskaya,5,11,Eliminated Week 2,2.0,Model,22,21.0,7.0,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Helio Castroneves,Julianne Hough,5,1,1st Place,,Racing Driver,32,25.0,8.333333333333334,3,27.0,9.0,3,24.0,8.0,3,27.0,9.0,3,23.0,7.666666666666667,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,28.5,9.5,3,30.0,10.0,3,27.999900000000004,9.333300000000001,3,,,0
Mel B,Maksim Chmerkoskiy,5,2,2nd Place,,Singer/Rapper,32,24.0,8.0,3,23.0,7.666666666666667,3,27.0,9.0,3,26.0,8.666666666666666,3,29.0,9.666666666666666,3,30.0,10.0,3,27.0,9.0,3,28.0,9.333333333333334,3,30.0,10.0,3,28.333199999999998,9.4444,3,,,0
Wayne Newton,Cheryl Burke,5,10,Eliminated Week 3,3.0,Singer/Rapper,65,19.0,6.333333333333333,3,15.0,5.0,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Marie Osmond,Jonathan Roberts,5,3,3rd Place,,Singer/Rapper,47,21.0,7.0,3,24.0,8.0,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,21.0,7.0,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,24.5,8.166666666666666,3,28.0,9.333333333333334,3,23.0,7.666666666666667,3,,,0
Mark Cuban,Kym Johnson,5,8,Eliminated Week 5,5.0,TV Personality,49,21.0,7.0,3,18.0,6.0,3,20.0,6.666666666666667,3,22.0,7.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Cristian de la Fuente,Cheryl Burke,6,3,3rd Place,,Actor/Actress,34,21.0,7.0,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,27.0,9.0,3,23.0,7.666666666666667,3,28.5,9.5,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,,,0
Steve Guttenberg,Anna Trebunskaya,6,10,Eliminated Week 3,3.0,Actor/Actress,49,18.0,6.0,3,16.0,5.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Priscilla Presley,Louis van Amstel,6,8,Eliminated Week 5,5.0,Actor/Actress,62,24.0,8.0,3,21.0,7.0,3,26.0,8.666666666666666,3,22.0,7.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Marlee Matlin,Fabian Sanchez,6,7,Eliminated Week 6,6.0,Actor/Actress,42,22.0,7.333333333333333,3,24.0,8.0,3,21.0,7.0,3,24.0,8.0,3,22.0,7.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0
Shannon Elizabeth,Derek Hough,6,6,Eliminated Week 7,7.0,Actor/Actress,34,21.0,7.0,3,24.0,8.0,3,24.0,8.0,3,28.0,9.333333333333334,3,23.0,7.666666666666667,3,24.0,8.0,3,25.5,8.5,3,,,0,,,0,,,0,,,0
Marissa Jaret Winokur,Tony Dovolani,6,4,Eliminated Week 9,9.0,Actor/Actress,35,18.0,6.0,3,21.0,7.0,3,19.0,6.333333333333333,3,24.0,8.0,3,24.0,8.0,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,,,0,,,0
Jason Taylor,Edyta Sliwinska,6,2,2nd Place,,Athlete,33,22.0,7.333333333333333,3,27.0,9.0,3,23.0,7.666666666666667,3,29.0,9.666666666666666,3,27.0,9.0,3,24.0,8.0,3,27.5,9.166666666666666,3,26.0,8.666666666666666,3,27.5,9.166666666666666,3,28.5,9.5,3,,,0
Kristi Yamaguchi,Mark Ballas,6,1,1st Place,,Athlete,36,27.0,9.0,3,27.0,9.0,3,27.0,9.0,3,29.0,9.666666666666666,3,29.0,9.666666666666666,3,30.0,10.0,3,27.0,9.0,3,27.5,9.166666666666666,3,28.5,9.5,3,30.0,10.0,3,,,0
Monica Seles,Jonathan Roberts,6,11,Eliminated Week 2,2.0,Athlete,34,15.0,5.0,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Penn Jillette,Kym Johnson,6,12,Eliminated Week 2,2.0,Magician,53,16.0,5.333333333333333,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Adam Carolla,Julianne Hough,6,9,Eliminated Week 4,4.0,Radio Personality,43,15.0,5.0,3,19.0,6.333333333333333,3,21.0,7.0,3,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Mario,Karina Smirnoff,6,5,Eliminated Week 8,8.0,Singer/Rapper,21,24.0,8.0,3,26.0,8.666666666666666,3,21.0,7.0,3,24.0,8.0,3,27.0,9.0,3,28.0,9.333333333333334,3,25.5,8.5,3,26.5,8.833333333333334,3,,,0,,,0,,,0
Ted McGinley,Inna Brayer,7,12,Eliminated Week 1,1.0,Actor/Actress,50,18.5,6.166666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Cloris Leachman,Corky Ballas,7,7,Eliminated Week 6,6.0,Actor/Actress,82,16.0,5.333333333333333,3,15.0,5.0,3,16.0,5.333333333333333,3,22.0,7.333333333333333,3,21.0,7.0,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0
Susan Lucci,Tony Dovolani,7,6,Eliminated Week 7,7.0,Actor/Actress,61,18.5,6.166666666666667,3,21.0,7.0,3,21.0,7.0,3,24.0,8.0,3,22.0,7.333333333333333,3,23.0,7.666666666666667,3,24.0,8.0,3,,,0,,,0,,,0,,,0
Cody Linley,Julianne Hough,7,4,Eliminated Week 9,9.0,Actor/Actress,18,20.5,6.833333333333333,3,21.0,7.0,3,21.0,7.0,3,23.0,7.666666666666667,3,28.0,9.333333333333334,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,24.0,8.0,3,23.0,7.666666666666667,3,,,0,,,0
Misty May-Treanor,Maksim Chmerkoskiy,7,10,Withdrew,-1.0,Athlete,31,21.0,7.0,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Maurice Greene,Cheryl Burke,7,5,Eliminated Week 8,8.0,Athlete,34,19.5,6.5,3,19.0,6.333333333333333,3,24.0,8.0,3,20.0,6.666666666666667,3,27.0,9.0,3,21.0,7.0,3,25.0,8.333333333333334,3,24.0,8.0,3,,,0,,,0,,,0
Warren Sapp,Kym Johnson,7,2,2nd Place,,Athlete,35,21.5,7.166666666666667,3,24.0,8.0,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,25.0,8.333333333333334,3,25.0,8.333333333333334,3,21.0,7.0,3,27.0,9.0,3,24.5,8.166666666666666,3,27.5,9.166666666666666,3,,,0
Jeffrey Ross,Edyta Sliwinska,7,13,Eliminated Week 1,1.0,Comedian,43,12.0,4.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Toni Braxton,Alec Mazo,7,8,Eliminated Week 5,5.0,Singer/Rapper,40,22.5,7.5,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
Lance Bass,Lacey Schwimmer,7,3,3rd Place,,Singer/Rapper,29,21.5,7.166666666666667,3,20.0,6.666666666666667,3,22.0,7.333333333333333,3,26.0,8.666666666666666,3,21.0,7.0,3,27.0,9.0,3,25.0,8.333333333333334,3,25.0,8.333333333333334,3,28.5,9.5,3,27.5,9.166666666666666,3,,,0
Kim Kardashian,Mark Ballas,7,11,Eliminated Week 2,2.0,TV Personality,27,18.5,6.166666666666667,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Rocco DiSpirito,Karina Smirnoff,7,9,Eliminated Week 4,4.0,TV Personality,41,17.5,5.833333333333333,3,16.0,5.333333333333333,3,20.0,6.666666666666667,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Brooke Burke,Derek Hough,7,1,1st Place,,TV Personality,37,24.5,8.166666666666666,3,24.0,8.0,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,29.0,9.666666666666666,3,26.0,8.666666666666666,3,30.0,10.0,3,27.5,9.166666666666666,3,24.5,8.166666666666666,3,30.0,10.0,3,,,0
Gilles Marini,Cheryl Burke,8,2,2nd Place,,Actor/Actress,33,24.0,8.0,3,27.0,9.0,3,27.0,9.0,3,30.0,10.0,3,29.0,9.666666666666666,3,26.0,8.666666666666666,3,27.0,9.0,3,27.5,9.166666666666666,3,28.0,9.333333333333334,3,30.0,10.0,3,29.0,9.666666666666666,3
Denise Richards,Maksim Chmerkoskiy,8,12,Eliminated Week 3,3.0,Actor/Actress,38,18.0,6.0,3,21.0,7.0,3,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
David Alan Grier,Kym Johnson,8,9,Eliminated Week 5,5.0,Actor/Actress,52,19.0,6.333333333333333,3,17.0,5.666666666666667,3,24.0,8.0,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
Lawrence Taylor,Edyta Sliwinska,8,7,Eliminated Week 7,7.0,Athlete,50,16.0,5.333333333333333,3,20.0,6.666666666666667,3,20.0,6.666666666666667,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,22.0,7.333333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0
Ty Murray,Chelsie Hightower,8,4,Eliminated Week 10,10.0,Athlete,39,14.0,4.666666666666667,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,21.0,7.0,3,18.0,6.0,3,24.0,8.0,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,24.0,8.0,3,,,0
