celebrity_name,ballroom_partner,season,placement,results,elimination_week,celebrity_industry,celebrity_age,week1_total_score,week1_avg_score,week1_judge_count,week2_total_score,week2_avg_score,week2_judge_count,week3_total_score,week3_avg_score,week3_judge_count,week4_total_score,week4_avg_score,week4_judge_count,week5_total_score,week5_avg_score,week5_judge_count,week6_total_score,week6_avg_score,week6_judge_count,week7_total_score,week7_avg_score,week7_judge_count,week8_total_score,week8_avg_score,week8_judge_count,week9_total_score,week9_avg_score,week9_judge_count,week10_total_score,week10_avg_score,week10_judge_count,week11_total_score,week11_avg_score,week11_judge_count
Shawn Johnson,Mark Ballas,8,1,1st Place,,Athlete,17,23.0,7.666666666666667,3,24.0,8.0,3,27.0,9.0,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,28.0,9.333333333333334,3,30.0,10.0,3
Steve Wozniak,Karina Smirnoff,8,10,Eliminated Week 4,4.0,Entrepreneur,58,13.0,4.333333333333333,3,17.0,5.666666666666667,3,10.0,3.3333333333333335,3,12.0,4.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Belinda Carlisle,Jonathan Roberts,8,13,Eliminated Week 2,2.0,Singer/Rapper,50,17.0,5.666666666666667,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Chuck Wicks,Julianne Hough,8,6,Eliminated Week 8,8.0,Singer/Rapper,29,20.0,6.666666666666667,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,27.0,9.0,3,25.5,8.5,3,,,0,,,0,,,0
Lil' Kim,Derek Hough,8,5,Eliminated Week 9,9.0,Singer/Rapper,34,21.0,7.0,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,27.0,9.0,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,26.0,8.666666666666666,3,,,0,,,0
Steve-O,Lacey Schwimmer,8,8,Eliminated Week 6,6.0,TV Personality,34,17.0,5.666666666666667,3,14.0,4.666666666666667,3,15.0,5.0,3,15.0,5.0,3,18.0,6.0,3,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0
Holly Madison,Dmitry Chaplin,8,11,Eliminated Week 4,4.0,TV Personality,30,18.0,6.0,3,18.0,6.0,3,17.0,5.666666666666667,3,16.0,5.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Melissa Rycroft,Tony Dovolani,8,3,3rd Place,,TV Personality,26,23.0,7.666666666666667,3,26.0,8.666666666666666,3,27.0,9.0,3,29.0,9.666666666666666,3,25.0,8.333333333333334,3,27.0,9.0,3,29.0,9.666666666666666,3,23.0,7.666666666666667,3,28.5,9.5,3,27.5,9.166666666666666,3,28.5,9.5,3
Ashley Hamiliton,Edyta Sliwinska,9,16,Eliminated Week 1,1.0,Actor/Actress,34,18.9999,6.3333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Debi Mazar,Maksim Chmerkoskiy,9,12,Eliminated Week 3,3.0,Actor/Actress,45,22.0,7.333333333333333,3,21.0,7.0,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Melissa Joan Hart,Mark Ballas,9,9,Eliminated Week 6,6.0,Actor/Actress,33,24.0,8.0,3,19.0,6.333333333333333,3,19.0,6.333333333333333,3,28.0,9.333333333333334,3,23.0,7.666666666666667,3,23.9999,7.9999666666666664,3,,,0,,,0,,,0,,,0,,,0
Mark Dacascos,Lacey Schwimmer,9,6,Eliminated Week 7,7.0,Actor/Actress,45,28.9998,9.6666,3,21.0,7.0,3,18.0,6.0,3,22.0,7.333333333333333,3,26.0,8.666666666666666,3,32.0,10.666666666666666,3,21.5,7.166666666666667,3,,,0,,,0,,,0,,,0
Chuck Liddell,Anna Trebunskaya,9,11,Eliminated Week 4,4.0,Athlete,39,22.0,7.333333333333333,3,19.0,6.333333333333333,3,17.0,5.666666666666667,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Natalie Coughlin,Alec Mazo,9,10,Eliminated Week 5,5.0,Athlete,27,26.9998,8.999933333333333,3,21.0,7.0,3,26.0,8.666666666666666,3,24.0,8.0,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
Louie Vito,Chelsie Hightower,9,8,Eliminated Week 6,6.0,Athlete,21,26.9998,8.999933333333333,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,16.0,5.333333333333333,3,22.0,7.333333333333333,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0
Michael Irvin,Anna Demidova,9,7,Eliminated Week 7,7.0,Athlete,43,19.0,6.333333333333333,3,20.0,6.666666666666667,3,14.0,4.666666666666667,3,16.0,5.333333333333333,3,21.0,7.0,3,21.9998,7.333266666666667,3,23.5,7.833333333333333,3,,,0,,,0,,,0,,,0
Joanna Krupa,Derek Hough,9,4,Eliminated Week 9,9.0,Model,30,33.9999,11.3333,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,24.0,8.0,3,35.9999,11.999966666666666,3,27.5,9.166666666666666,3,26.0,8.666666666666666,3,27.0,9.0,3,,,0,,,0
Kathy Ireland,Tony Dovolani,9,14,Eliminated Week 2,2.0,Model,46,19.9999,6.666633333333333,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Tom DeLay,Cheryl Burke,9,13,Withdrew,-1.0,Politician,62,19.9999,6.666633333333333,3,18.0,6.0,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Macy Gray,Jonathan Roberts,9,15,Eliminated Week 1,1.0,Singer/Rapper,42,18.9999,6.3333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Aaron Carter,Karina Smirnoff,9,5,Eliminated Week 8,8.0,Singer/Rapper,21,31.999899999999997,10.666633333333332,3,27.0,9.0,3,21.0,7.0,3,18.0,6.0,3,24.0,8.0,3,32.9998,10.999933333333333,3,26.5,8.833333333333334,3,25.0,8.333333333333334,3,,,0,,,0,,,0
Mya,Dmitry Chaplin,9,2,2nd Place,,Singer/Rapper,29,30.999899999999997,10.3333,3,27.0,9.0,3,27.0,9.0,3,28.0,9.333333333333334,3,27.0,9.0,3,33.0,11.0,3,24.5,8.166666666666666,3,29.5,9.833333333333334,3,28.9999,9.666633333333333,3,28.333199999999998,9.4444,3,,,0
Donny Osmond,Kym Johnson,9,1,1st Place,,Singer/Rapper,51,29.999899999999997,9.999966666666666,3,25.0,8.333333333333334,3,21.0,7.0,3,24.0,8.0,3,29.0,9.666666666666666,3,30.999899999999997,10.3333,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,24.666600000000003,8.2222,3,28.9998,9.6666,3,,,0
Kelly Osbourne,Louis van Amstel,9,3,3rd Place,,TV Personality,24,30.9998,10.333266666666667,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,24.0,8.0,3,24.9998,8.333266666666667,3,26.0,8.666666666666666,3,25.5,8.5,3,25.9998,8.6666,3,25.2222,8.4074,3,,,0
Aiden Turner,Edyta Sliwinska,10,9,Eliminated Week 4,4.0,Actor/Actress,32,15.0,5.0,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,16.5,5.5,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Shannen Doherty,Mark Ballas,10,11,Eliminated Week 2,2.0,Actor/Actress,38,18.0,6.0,3,20.0,6.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Niecy Nash,Louis van Amstel,10,5,Eliminated Week 8,8.0,Actor/Actress,40,18.0,6.0,3,21.0,7.0,3,21.0,7.0,3,18.0,6.0,3,18.0,6.0,3,25.9998,8.6666,3,24.5,8.166666666666666,3,21.5,7.166666666666667,3,,,0,,,0,,,0
Buzz Aldrin,Ashly DelGrosso,10,10,Eliminated Week 3,3.0,Astronaut,80,14.0,4.666666666666667,3,12.0,4.0,3,13.0,4.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Chad Ochocinco,Cheryl Burke,10,4,Eliminated Week 9,9.0,Athlete,32,18.0,6.0,3,16.0,5.333333333333333,3,20.0,6.666666666666667,3,22.0,7.333333333333333,3,18.0,6.0,3,30.999899999999997,10.3333,3,26.0,8.666666666666666,3,22.5,7.5,3,26.0,8.666666666666666,3,,,0,,,0
Evan Lysacek,Anna Trebunskaya,10,2,2nd Place,,Athlete,24,23.0,7.666666666666667,3,24.0,8.0,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,27.0,9.0,3,27.0,9.0,3,27.0,9.0,3,26.5,8.833333333333334,3,29.5,9.833333333333334,3,26.888699999999996,8.9629,3,,,0
Pamela Anderson,Damian Whitewood,10,6,Eliminated Week 7,7.0,Model,42,21.0,7.0,3,22.0,7.333333333333333,3,21.0,7.0,3,23.5,7.833333333333333,3,21.0,7.0,3,29.9998,9.999933333333333,3,25.5,8.5,3,,,0,,,0,,,0,,,0
Nicole Scherzinger,Derek Hough,10,1,1st Place,,Singer/Rapper,31,25.0,8.333333333333334,3,28.0,9.333333333333334,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,29.0,9.666666666666666,3,35.9999,11.999966666666666,3,27.0,9.0,3,29.5,9.833333333333334,3,29.5,9.833333333333334,3,28.7777,9.592566666666666,3,,,0
Erin Andrews,Maksim Chmerkoskiy,10,3,3rd Place,,Sports Broadcaster,32,21.0,7.0,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,19.5,6.5,3,22.0,7.333333333333333,3,34.0,11.333333333333334,3,25.5,8.5,3,26.5,8.833333333333334,3,28.0,9.333333333333334,3,26.9998,8.999933333333333,3,,,0
Kate Gosselin,Tony Dovolani,10,8,Eliminated Week 5,5.0,TV Personality,35,16.0,5.333333333333333,3,15.0,5.0,3,15.0,5.0,3,16.0,5.333333333333333,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Jake Pavelka,Chelsie Hightower,10,7,Eliminated Week 6,6.0,TV Personality,32,20.0,6.666666666666667,3,20.0,6.666666666666667,3,21.0,7.0,3,19.0,6.333333333333333,3,23.0,7.666666666666667,3,24.999899999999997,8.3333,3,,,0,,,0,,,0,,,0,,,0
David Hasselhoff,Kym Johnson,11,12,Eliminated Week 1,1.0,Actor/Actress,58,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Florence Henderson,Corky Ballas,11,8,Eliminated Week 5,5.0,Actor/Actress,76,18.0,6.0,3,19.0,6.333333333333333,3,20.0,6.666666666666667,3,17.5,5.833333333333333,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0
Kyle Massey,Lacey Schwimmer,11,2,2nd Place,,Actor/Actress,19,23.0,7.666666666666667,3,22.0,7.333333333333333,3,23.0,7.666666666666667,3,20.0,6.666666666666667,3,20.0,6.666666666666667,3,29.999899999999997,9.999966666666666,3,33.5,8.375,4,28.0,9.333333333333334,3,29.0,9.666666666666666,3,27.333199999999998,9.111066666666666,3,,,0
Jennifer Grey,Derek Hough,11,1,1st Place,,Actor/Actress,50,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,28.0,9.333333333333334,3,25.0,8.333333333333334,3,29.0,9.666666666666666,3,36.5,9.125,4,28.5,9.5,3,30.0,10.0,3,30.0,10.0,3,,,0
Rick Fox,Cheryl Burke,11,6,Eliminated Week 7,7.0,Athlete,41,22.0,7.333333333333333,3,21.0,7.0,3,24.0,8.0,3,19.5,6.5,3,24.0,8.0,3,30.0,10.0,3,34.5,8.625,4,,,0,,,0,,,0,,,0
Kurt Warner,Anna Trebunskaya,11,5,Eliminated Week 8,8.0,Athlete,39,19.0,6.333333333333333,3,21.0,7.0,3,23.0,7.666666666666667,3,17.0,5.666666666666667,3,24.0,8.0,3,21.9999,7.3333,3,35.0,8.75,4,24.0,8.0,3,,,0,,,0,,,0
Margaret Cho,Louis van Amstel,11,10,Eliminated Week 3,3.0,Comedian,41,15.0,5.0,3,18.0,6.0,3,18.0,6.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Michael Bolton,Chelsie Hightower,11,11,Eliminated Week 2,2.0,Singer/Rapper,57,16.0,5.333333333333333,3,12.0,4.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Brandy,Maksim Chmerkoskiy,11,4,Eliminated Week 9,9.0,Singer/Rapper,31,23.0,7.666666666666667,3,21.0,7.0,3,24.0,8.0,3,24.0,8.0,3,27.0,9.0,3,35.9999,11.999966666666666,3,36.5,9.125,4,28.5,9.5,3,28.5,9.5,3,,,0,,,0
The Situation,Karina Smirnoff,11,9,Eliminated Week 4,4.0,TV Personality,28,15.0,5.0,3,18.0,6.0,3,20.0,6.666666666666667,3,14.0,4.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Audrina Patridge,Tony Dovolani,11,7,Eliminated Week 6,6.0,TV Personality,25,19.0,6.333333333333333,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,23.0,7.666666666666667,3,23.0,7.666666666666667,3,31.9998,10.6666,3,,,0,,,0,,,0,,,0,,,0
Bristol Palin,Mark Ballas,11,3,3rd Place,,TV Personality,19,18.0,6.0,3,22.0,7.333333333333333,3,19.0,6.333333333333333,3,16.0,5.333333333333333,3,18.0,6.0,3,27.9998,9.333266666666667,3,32.5,8.125,4,23.5,7.833333333333333,3,26.5,8.833333333333334,3,25.666600000000003,8.555533333333335,3,,,0
Ralph Macchio,Karina Smirnoff,12,4,Eliminated Week 9,9.0,Actor/Actress,49,24.0,8.0,3,21.0,7.0,3,21.0,7.0,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,24.0,8.0,3,33.0,8.25,4,23.0,7.666666666666667,3,24.0,8.0,3,,,0,,,0
Chelsea Kane,Mark Ballas,12,3,3rd Place,,Actor/Actress,22,21.0,7.0,3,18.0,6.0,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,32.0,8.0,4,27.5,9.166666666666666,3,36.5,12.166666666666666,3,29.666600000000003,9.888866666666667,3,,,0
Kirstie Alley,Maksim Chmerkoskiy,12,2,2nd Place,,Actor/Actress,60,23.0,7.666666666666667,3,20.0,6.666666666666667,3,21.0,7.0,3,22.0,7.333333333333333,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,30.0,7.5,4,26.5,8.833333333333334,3,27.0,9.0,3,27.999899999999997,9.3333,3,,,0
Hines Ward,Kym Johnson,12,1,1st Place,,Athlete,35,21.0,7.0,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,25.0,8.333333333333334,3,27.0,9.0,3,27.0,9.0,3,33.0,8.25,4,27.0,9.0,3,30.0,10.0,3,29.666600000000003,9.888866666666667,3,,,0
Sugar Ray Leonard,Anna Trebunskaya,12,9,Eliminated Week 4,4.0,Athlete,54,17.0,5.666666666666667,3,17.0,5.666666666666667,3,20.0,6.666666666666667,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Chris Jericho,Cheryl Burke,12,7,Eliminated Week 6,6.0,Athlete,40,19.0,6.333333333333333,3,23.0,7.666666666666667,3,21.0,7.0,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0
Petra Nemcova,Dmitry Chaplin,12,8,Eliminated Week 5,5.0,Model,31,18.0,6.0,3,18.0,6.0,3,25.0,8.333333333333334,3,23.0,7.666666666666667,3,22.0,7.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
Mike Catherwood,Lacey Schwimmer,12,11,Eliminated Week 2,2.0,Radio Personality,32,13.0,4.333333333333333,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Romeo,Chelsie Hightower,12,5,Eliminated Week 8,8.0,Singer/Rapper,21,19.0,6.333333333333333,3,23.0,7.666666666666667,3,20.0,6.666666666666667,3,23.0,7.666666666666667,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,30.0,7.5,4,26.0,8.666666666666666,3,,,0,,,0,,,0
Wendy Williams,Tony Dovolani,12,10,Eliminated Week 3,3.0,TV Personality,46,14.0,4.666666666666667,3,17.0,5.666666666666667,3,15.0,5.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Kendra Wilkinson,Louis van Amstel,12,6,Eliminated Week 7,7.0,TV Personality,25,18.0,6.0,3,19.0,6.333333333333333,3,23.0,7.666666666666667,3,18.0,6.0,3,22.0,7.333333333333333,3,25.0,8.333333333333334,3,30.5,7.625,4,,,0,,,0,,,0,,,0
Elisabetta Canalis,Valentin Chmerkovskiy,13,11,Eliminated Week 2,2.0,Actor/Actress,33,15.0,5.0,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
David Arquette,Kym Johnson,13,6,Eliminated Week 7,7.0,Actor/Actress,40,18.0,6.0,3,18.0,6.0,3,24.0,8.0,3,23.0,7.666666666666667,3,25.0,8.333333333333334,3,23.0,7.666666666666667,3,23.5,7.833333333333333,3,,,0,,,0,,,0,,,0
Ricki Lake,Derek Hough,13,3,3rd Place,,Actor/Actress,42,20.0,6.666666666666667,3,23.0,7.666666666666667,3,27.0,9.0,3,29.0,9.666666666666666,3,24.0,8.0,3,29.0,9.666666666666666,3,26.5,8.833333333333334,3,26.0,8.666666666666666,3,33.4999,11.166633333333332,3,27.999899999999997,9.3333,3,,,0
J.R. Martinez,Karina Smirnoff,13,1,1st Place,,Actor/Actress,28,22.0,7.333333333333333,3,22.0,7.333333333333333,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,29.0,9.666666666666666,3,24.0,8.0,3,30.0,10.0,3,28.0,9.333333333333334,3,28.1665,9.388833333333332,3,,,0
Metta World Peace (Ron),Peta Murgatroyd,13,12,Eliminated Week 1,1.0,Athlete,31,14.0,4.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Hope Solo,Maksim Chmerkoskiy,13,4,Eliminated Week 9,9.0,Athlete,30,21.0,7.0,3,19.0,6.333333333333333,3,24.0,8.0,3,24.0,8.0,3,24.0,8.0,3,20.0,6.666666666666667,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,24.4998,8.1666,3,,,0,,,0
Chynna Phillips,Tony Dovolani,13,9,Eliminated Week 4,4.0,Singer/Rapper,43,22.0,7.333333333333333,3,21.0,7.0,3,26.0,8.666666666666666,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Kristin Cavallari,Mark Ballas,13,10,Eliminated Week 3,3.0,TV Personality,24,19.0,6.333333333333333,3,22.0,7.333333333333333,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Carson Kressley,Anna Trebunskaya,13,8,Eliminated Week 5,5.0,TV Personality,41,17.0,5.666666666666667,3,18.0,6.0,3,23.0,7.666666666666667,3,20.0,6.666666666666667,3,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0,,,0
Chaz Bono,Lacey Schwimmer,13,7,Eliminated Week 6,6.0,TV Personality,42,17.0,5.666666666666667,3,17.0,5.666666666666667,3,18.0,6.0,3,21.0,7.0,3,21.0,7.0,3,19.0,6.333333333333333,3,,,0,,,0,,,0,,,0,,,0
Nancy Grace,Tristan MacManus,13,5,Eliminated Week 8,8.0,TV Personality,51,16.0,5.333333333333333,3,21.0,7.0,3,21.0,7.0,3,21.0,7.0,3,22.0,7.333333333333333,3,24.0,8.0,3,22.0,7.333333333333333,3,22.0,7.333333333333333,3,,,0,,,0,,,0
Rob Kardashian,Cheryl Burke,13,2,2nd Place,,TV Personality,24,16.0,5.333333333333333,3,21.0,7.0,3,24.0,8.0,3,24.0,8.0,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,25.5,8.5,3,25.5,8.5,3,32.4998,10.833266666666667,3,28.333199999999998,9.4444,3,,,0
William Levy,Cheryl Burke,14,3,3rd Place,,Actor/Actress,31,24.0,8.0,3,25.0,8.333333333333334,3,28.0,9.333333333333334,3,22.0,7.333333333333333,3,29.0,9.666666666666666,3,36.0,12.0,3,26.5,8.833333333333334,3,28.5,9.5,3,29.0,9.666666666666666,3,29.666600000000003,9.888866666666667,3,,,0
Jack Wagner,Anna Trebunskaya,14,11,Eliminated Week 3,3.0,Actor/Actress,52,23.0,7.666666666666667,3,21.0,7.0,3,24.0,8.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Sherri Sheperd,Valentin Chmerkovskiy,14,10,Eliminated Week 4,4.0,Actor/Actress,44,23.0,7.666666666666667,3,23.0,7.666666666666667,3,24.0,8.0,3,21.0,7.0,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Jaleel White,Kym Johnson,14,7,Eliminated Week 7,7.0,Actor/Actress,35,26.0,8.666666666666666,3,22.0,7.333333333333333,3,25.0,8.333333333333334,3,22.0,7.333333333333333,3,24.0,8.0,3,36.9998,12.333266666666667,3,25.5,8.5,3,,,0,,,0,,,0,,,0
Roshon Fegan,Chelsie Hightower,14,6,Eliminated Week 8,8.0,Actor/Actress,20,23.0,7.666666666666667,3,26.0,8.666666666666666,3,25.0,8.333333333333334,3,26.0,8.666666666666666,3,26.0,8.666666666666666,3,27.9998,9.333266666666667,3,26.0,8.666666666666666,3,28.0,9.333333333333334,3,,,0,,,0,,,0
Melissa Gilbert,Maksim Chmerkoskiy,14,5,Eliminated Week 8,8.0,Actor/Actress,47,20.0,6.666666666666667,3,20.0,6.666666666666667,3,24.0,8.0,3,22.0,7.333333333333333,3,21.0,7.0,3,30.0,10.0,3,23.5,7.833333333333333,3,25.5,8.5,3,,,0,,,0,,,0
Martina Navratilova,Tony Dovolani,14,12,Eliminated Week 2,2.0,Athlete,55,20.0,6.666666666666667,3,17.0,5.666666666666667,3,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
